,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Saint Paul Harbor,1,US,1595505130,62,57.79,-152.41,57.2,10.29
1,Punta Arenas,65,CL,1595505130,89,-53.15,-70.92,35.6,13.87
2,Tonantins,92,BR,1595505131,97,-2.87,-67.8,73.51,1.19
3,Kaitangata,12,NZ,1595505131,76,-46.28,169.85,37.99,5.01
4,Iqaluit,75,CA,1595505131,76,63.75,-68.51,50.0,9.17
5,Butaritari,0,KI,1595505131,79,3.07,172.79,82.98,15.66
6,Sal Rei,75,CV,1595505131,70,16.18,-22.92,84.2,9.17
7,Luangwa,3,ZM,1595505131,28,-15.62,30.42,77.97,9.71
8,Busselton,26,AU,1595505131,64,-33.65,115.33,54.0,6.55
9,Puerto Ayora,91,EC,1595505132,97,-0.74,-90.35,66.99,4.0
10,Saskylakh,98,RU,1595505132,90,71.92,114.08,55.54,13.53
11,Mar del Plata,90,AR,1595504914,100,-38.0,-57.56,51.8,3.36
12,Kyshtovka,50,RU,1595505132,55,56.55,76.63,66.78,3.94
13,Tuatapere,85,NZ,1595505132,83,-46.13,167.68,39.0,3.0
14,Mataura,81,NZ,1595505132,83,-46.19,168.86,39.0,3.0
15,Qaanaaq,0,GL,1595505132,52,77.48,-69.36,47.77,6.51
16,Tabou,96,CI,1595505133,81,4.42,-7.35,78.06,8.86
17,Buriti Bravo,9,BR,1595505133,53,-5.84,-43.83,79.9,10.38
18,Matiguás,78,NI,1595505133,94,12.84,-85.46,69.91,2.26
19,Sobolevo,96,RU,1595505133,64,54.43,31.9,62.78,10.36
20,Thompson,75,CA,1595505133,88,55.74,-97.86,64.4,3.36
21,Hobart,75,AU,1595505013,75,-42.88,147.33,46.0,5.82
22,Luganville,97,VU,1595505134,82,-15.53,167.17,75.97,9.82
23,Smithers,90,CA,1595505085,87,54.78,-127.17,53.6,2.24
24,Havre-St-Pierre,75,CA,1595505134,87,50.23,-63.6,57.2,3.36
25,Cape Town,0,ZA,1595504878,72,-33.93,18.42,73.99,6.93
26,Camacha,75,PT,1595505134,64,33.08,-16.33,71.6,13.87
27,Ilulissat,20,GL,1595505134,57,69.22,-51.1,51.8,4.7
28,Fortuna,90,US,1595505134,100,40.6,-124.16,55.0,4.7
29,Kizema,98,RU,1595505135,81,61.11,44.83,64.08,2.53
30,Penzance,75,GB,1595505135,100,50.12,-5.54,63.0,10.29
31,Bambous Virieux,75,MU,1595505135,93,-20.34,57.76,71.01,14.99
32,Castro,24,BR,1595505016,73,-24.79,-50.01,61.99,3.87
33,Hermanus,0,ZA,1595505135,64,-34.42,19.23,68.0,3.0
34,Melfi,0,IT,1595505135,31,41.0,15.65,93.2,10.29
35,Atuona,9,PF,1595505135,72,-9.8,-139.03,79.05,18.9
36,Hithadhoo,100,MV,1595505136,72,-0.6,73.08,82.89,5.57
37,Bredasdorp,40,ZA,1595505136,72,-34.53,20.04,62.6,5.82
38,Lüderitz,0,NA,1595505136,10,-26.65,15.16,91.4,18.34
39,Gornorechenskiy,100,RU,1595505136,89,44.26,135.11,61.97,1.54
40,Yellowknife,90,CA,1595505136,100,62.46,-114.35,59.0,10.29
41,Benito Juarez,40,MX,1595505136,82,19.39,-99.17,59.0,8.05
42,Haines Junction,100,CA,1595505136,86,60.75,-137.51,49.73,1.7
43,Rikitea,92,PF,1595505136,72,-23.12,-134.97,66.51,19.71
44,Leningradskiy,96,RU,1595505137,60,69.38,178.42,52.99,10.65
45,Champerico,84,GT,1595505137,82,14.3,-91.92,77.47,4.65
46,George Town,20,MY,1595505040,74,5.41,100.34,86.0,2.24
47,New Norfolk,99,AU,1595505137,81,-42.78,147.06,46.0,4.0
48,Nikolskoye,75,RU,1595505137,52,59.7,30.79,64.4,20.13
49,Gijang,90,KR,1595505137,88,35.24,129.21,73.4,12.75
50,Geraldton,0,AU,1595505137,81,-28.77,114.6,53.6,6.93
51,Manokwari,22,ID,1595505138,70,-0.87,134.08,81.23,3.24
52,Ponta do Sol,2,PT,1595505110,66,32.67,-17.1,73.0,1.34
53,Vaini,75,TO,1595505138,88,-21.2,-175.2,69.8,6.93
54,Adrar,22,MR,1595505138,19,20.5,-10.07,104.54,15.95
55,Port Lincoln,90,AU,1595505138,74,-34.73,135.87,52.52,12.82
56,Hilo,1,US,1595505138,78,19.73,-155.09,71.6,5.82
57,Lavrentiya,100,RU,1595505138,61,65.58,-171.0,50.81,8.19
58,Longyearbyen,90,SJ,1595505138,81,78.22,15.64,48.2,3.36
59,Hasaki,75,JP,1595505139,100,35.73,140.83,72.0,2.24
60,Oranjemund,0,NA,1595505139,17,-28.55,16.43,79.86,12.06
61,Lagoa,0,PT,1595505139,71,39.05,-27.98,69.06,1.32
62,Ushuaia,75,AR,1595505139,55,-54.8,-68.3,37.4,9.17
63,Sargatskoye,1,RU,1595505139,50,55.61,73.5,68.25,10.96
64,East London,0,ZA,1595505139,28,-33.02,27.91,73.4,4.7
65,Hastings,100,GB,1595504973,45,50.86,0.57,72.0,5.99
66,Bluff,61,NZ,1595505140,83,-46.6,168.33,39.0,3.0
67,Solnechnyy,92,RU,1595505140,89,50.72,136.63,60.89,5.84
68,Cabinda,53,AO,1595505140,66,-5.55,12.2,77.29,9.8
69,Fochville,0,ZA,1595505141,42,-26.49,27.49,64.99,3.4
70,Hofn,75,IS,1595505141,66,64.25,-15.21,53.6,9.17
71,Winterswijk,7,NL,1595504974,36,51.97,6.72,73.99,5.01
72,Kapaa,75,US,1595505142,94,22.08,-159.32,73.4,4.7
73,Meridian,97,US,1595505142,64,43.61,-116.39,70.0,6.33
74,Albany,75,US,1595505142,93,42.6,-73.97,73.99,3.38
75,Russell,1,US,1595504997,94,32.35,-85.2,73.4,5.82
76,Grafton,75,US,1595505143,94,42.21,-71.69,73.99,10.29
77,Kahului,1,US,1595505143,69,20.89,-156.47,73.99,5.82
78,Touros,40,BR,1595505144,78,-5.2,-35.46,77.0,9.17
79,Provideniya,39,RU,1595505144,66,64.38,-173.3,50.85,6.93
80,Tiksi,82,RU,1595505144,78,71.69,128.87,58.96,7.92
81,Sorong,69,ID,1595505145,83,-0.88,131.25,80.35,7.14
82,Aripuanã,96,BR,1595505145,54,-9.17,-60.63,75.51,1.5
83,Forsytheganj,76,BY,1595505146,47,52.63,29.73,67.53,7.61
84,Yangi Marg`ilon,90,UZ,1595505146,12,40.43,71.72,98.6,4.7
85,Yamada,77,JP,1595505146,90,39.47,141.95,67.66,2.01
86,Pisco,75,PE,1595505146,87,-13.7,-76.22,57.0,2.24
87,Sinnamary,95,GF,1595505147,84,5.38,-52.95,78.08,5.32
88,Lockhart,1,US,1595505044,88,28.62,-81.44,80.01,4.7
89,San Quintín,99,MX,1595505147,81,30.48,-115.95,64.11,10.07
90,Santa Catalina,100,PH,1595505149,77,9.33,122.86,81.5,2.06
91,Paamiut,100,GL,1595505149,93,61.99,-49.67,47.08,7.29
92,Kruisfontein,0,ZA,1595505149,26,-34.0,24.73,76.62,4.18
93,Cabo San Lucas,9,MX,1595505149,75,22.89,-109.91,80.01,10.18
94,Port-Gentil,75,GA,1595505149,74,-0.72,8.78,82.4,12.5
95,Tuktoyaktuk,0,CA,1595505149,75,69.45,-133.04,42.24,12.5
96,Roald,75,NO,1595505150,62,62.58,6.13,57.99,3.36
97,Celestún,73,MX,1595505150,85,20.87,-90.4,78.37,9.37
98,Dikson,55,RU,1595505150,84,73.51,80.55,41.86,11.54
99,Barrow,90,US,1595505150,87,71.29,-156.79,46.4,14.99
